model_a,model_b,endpoint,winner
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gemma
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gemma
gemma,gpt-4.1-mini,ADME_Sol,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gemma
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_RLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_HLM,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_MDR1_ER,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_hPPB,gpt-4.1-mini
gemma,gpt-4.1-mini,ADME_rPPB,gpt-4.1-mini
