endpoint,sample,prediction,base_value,category,features,shap_values,explanation
ADME_HLM,mol_0_317714313,4.890408890851649,65.15835660643272,low,"['MolMR', 'Chi0v', 'Chi1n']","[16.7271146944564, 15.192860205347056, 14.092399045978773]","The model predicts a hepatic metabolic clearance of 4.89 mL/min/kg, categorizing the compound as having low intrinsic clearance in liver microsomes, which suggests a slower hepatic metabolism and potentially longer systemic exposure.  

The baseline value of 65.16 mL/min/kg represents an average intrinsic clearance for a typical compound, reflecting moderate hepatic metabolic activity. Since the prediction of 4.89 mL/min/kg is substantially lower than the baseline, this indicates that the compound is expected to be metabolized more slowly by liver enzymes, potentially resulting in reduced hepatic elimination and prolonged half-life in vivo.  

1. MolMR (+16.73): This feature represents the molecular refractivity, which is a measure of the volume occupied by electrons in the molecule. Higher molecular refractivity often correlates with increased molecular size and polarizability, which can enhance interactions with metabolic enzymes, thereby increasing intrinsic clearance. In this context, the positive contribution means MolMR tends to raise clearance, partially offsetting the overall low prediction.  

2. Chi0v (+15.19): Chi0v is the valence zero-order molecular connectivity index, reflecting molecular branching and size. Larger or more branched molecules typically exhibit higher enzymatic recognition, possibly increasing metabolic turnover. Here, its positive value indicates it promotes greater clearance, again counteracting the overall low predicted rate.  

3. Chi1n (+14.09): Chi1n is the first-order molecular connectivity index for heteroatoms, capturing the presence and arrangement of nitrogen, oxygen, or other heteroatoms influencing enzyme binding or metabolism. A positive contribution suggests increased metabolic susceptibility linked to these structural features, which would elevate clearance somewhat.  

These three molecular features contribute positively, thus partially counteracting the overall low hepatic clearance prediction; however, other unlisted features likely dominate and drive the predicted intrinsic clearance to be substantially lower than baseline."
ADME_HLM,mol_10_43216036,9.482965700562723,65.15835660643272,low,"['MolLogP', 'fr_nitrile', 'BCUT2D_CHGLO']","[-31.09194537908318, 19.45829590977509, 17.722580386878985]","The predicted hepatic metabolic clearance of 9.48 mL/min/kg falls into the low category, indicating reduced metabolic rate and potentially longer systemic drug exposure compared to compounds with higher clearance rates.

The baseline hepatic clearance value of 65.16 mL/min/kg represents an average metabolic capacity observed across a broad range of compounds. The predicted clearance being substantially lower than this baseline suggests a diminished intrinsic ability of liver microsomes to metabolize the compound, which can lead to slower drug elimination and prolonged pharmacological effects.

1. MolLogP (-31.09): MolLogP quantifies the lipophilicity of a compound, reflecting its hydrophobic character. A highly negative contribution here suggests that increased lipophilicity significantly decreases hepatic clearance, likely because more lipophilic drugs tend to have higher affinity for tissue binding and reduced availability for enzymatic metabolism, thereby lowering intrinsic clearance rates.

2. fr_nitrile (+19.46): The presence of nitrile groups (fr_nitrile) contributes positively to clearance, indicating that compounds containing nitrile functionalities may undergo enhanced metabolic processing by liver microsomal enzymes, possibly through cytochrome P450-mediated pathways that recognize and metabolize such moieties.

3. BCUT2D_CHGLO (+17.72): This feature measures the overall charge distribution of the molecule, with a positive impact suggesting that certain charge characteristics facilitate interactions with metabolizing enzymes, thus promoting intrinsic clearance. Charged molecules may exhibit improved enzyme-substrate binding affinity, enhancing metabolic turnover.

These features partially counteract the overall decreased prediction of hepatic clearance, implying some chemical characteristics favor metabolism; however, other unlisted factors likely dominate and drive the strong overall reduction in intrinsic hepatic clearance."
ADME_HLM,mol_11_2171363,80.58446986976577,65.15835660643272,high,"['Chi3v', 'FpDensityMorgan2', 'FpDensityMorgan3']","[24.976174752631, -20.551415654628187, -17.06615228264576]","The predicted hepatic metabolic clearance of 80.58 mL/min/kg falls into the high clearance category, indicating rapid metabolism of the compound by liver enzymes, which may result in lower systemic drug exposure and a potentially shorter duration of action.

The baseline value of 65.16 mL/min/kg represents an average metabolic clearance rate across a reference set of compounds. Since the predicted clearance exceeds this baseline, it suggests that this compound is metabolized more efficiently by hepatic microsomal enzymes, likely leading to increased intrinsic clearance and faster hepatic elimination in vivo.

1. Chi3v (+24.98): Chi3v is a topological molecular descriptor representing the valence connectivity index of the molecule, capturing aspects of molecular branching and complexity. A positive contribution of +24.98 indicates that greater molecular branching or complexity enhances recognition and processing by metabolizing enzymes, thereby increasing hepatic clearance. Pharmacokinetically, this suggests that molecules with higher Chi3v values tend to exhibit faster metabolism.

2. FpDensityMorgan2 (-20.55): FpDensityMorgan2 quantifies the density of molecular fingerprints within a 2-bond radius, reflecting local structural features and compactness. Its negative impact of -20.55 indicates that increased local fingerprint density decreases hepatic clearance, possibly by sterically hindering enzyme access or reducing metabolic site availability. This results in a reduction of the predicted intrinsic clearance.

3. FpDensityMorgan3 (-17.07): Similar to FpDensityMorgan2 but computed over a 3-bond radius, FpDensityMorgan3 measures broader structural density. The negative value of -17.07 suggests that greater structural density at this extended radius likewise impedes enzyme-substrate interactions, reducing hepatic metabolism. This effect counterbalances some factors enhancing clearance.

Overall, the positive influence of Chi3v outweighs the negative contributions of FpDensityMorgan2 and FpDensityMorgan3, reinforcing the higher predicted hepatic clearance. However, additional molecular features not shown here may further modulate the final clearance prediction."
ADME_HLM,mol_12_36366966,97.90972561205926,65.15835660643272,high,"['Phi', 'MolLogP', 'EState_VSA7']","[60.389475204426866, 31.688163506291342, -24.36687018783344]","The model predicts a hepatic metabolic clearance of 97.91 mL/min/kg, categorizing the compound as high clearance, which indicates rapid hepatic metabolism and potential low systemic exposure.

The baseline hepatic metabolic clearance, representing an average intrinsic clearance in liver microsomes, is 65.16 mL/min/kg. Since the predicted value of 97.91 mL/min/kg is substantially higher than this baseline, it suggests enhanced metabolic capacity in the liver microsomes, implying faster biotransformation and possibly shorter in vivo half-life.

1. Phi (+60.39): Phi generally corresponds to a molecular descriptor related to electronic or topological properties influencing enzyme interaction. A positive contribution of +60.39 indicates that specific electronic or spatial characteristics of the molecule promote more efficient binding or turnover by hepatic enzymes, thereby increasing intrinsic clearance. Pharmacokinetically, this suggests the molecule is more susceptible to hepatic metabolism.

2. MolLogP (+31.69): MolLogP measures the molecule's lipophilicity. The positive contribution of +31.69 implies that greater lipophilicity enhances membrane permeability and substrate recognition by liver enzymes, facilitating hepatic uptake and metabolic clearance. This effect often correlates with higher metabolic rate within the liver.

3. EState_VSA7 (-24.37): EState_VSA7 is a descriptor combining electronic state indices and van der Waals surface area, typically reflecting electron distribution on specific molecular surface regions. Its negative contribution (-24.37) suggests that certain electronic or steric properties partially reduce hepatic enzyme interaction or metabolic susceptibility, thereby slightly decreasing intrinsic clearance. This may represent steric hindrance or electronic features that impede efficient metabolism.

These features collectively reinforce the overall prediction of a higher hepatic metabolic clearance, with the positive contributions of Phi and MolLogP outweighing the moderate negative effect of EState_VSA7. Greater contributions from other molecular descriptors not shown may also influence the final value."
ADME_HLM,mol_13_50283346,110.39406946182226,65.15835660643272,high,"['MolLogP', 'PEOE_VSA7', 'Chi3v']","[36.22247966572136, -32.42003190522417, 32.29617870852794]","The model predicts a hepatic metabolic clearance of 110.39 mL/min/kg, categorized as high, indicating rapid intrinsic clearance in liver microsomes and suggesting extensive hepatic metabolism of the compound.

The baseline hepatic metabolic clearance of 65.16 mL/min/kg represents an average intrinsic clearance rate across similar compounds in liver microsomes. The prediction of 110.39 mL/min/kg is significantly higher than this baseline, implying that the compound is expected to be metabolized more rapidly by hepatic enzymes, potentially leading to reduced systemic exposure and faster elimination.

1. MolLogP (+36.22): MolLogP quantifies the compoundâ€™s lipophilicity, which influences membrane permeability and enzyme binding. A higher MolLogP generally enhances access to metabolizing enzymes in the liver due to better membrane partitioning, thereby increasing intrinsic clearance. Pharmacokinetically, this suggests faster hepatic metabolism driven by greater affinity for the microsomal environment.

2. PEOE_VSA7 (-32.42): PEOE_VSA7 describes the molecular surface area associated with partial charges within a specific range, reflecting polar regions. A negative contribution (-32.42) indicates that increased polar surface area reduces lipophilicity and enzyme interaction, thereby decreasing intrinsic clearance. This feature slightly moderates the overall predicted increase in hepatic metabolism.

3. Chi3v (+32.3): Chi3v is a valence molecular connectivity index that correlates with molecular branching and complexity. A positive value indicates that increased molecular branching facilitates enzyme recognition or binding, enhancing metabolic clearance. This suggests that structural complexity positively influences hepatic intrinsic clearance, consistent with the high predicted value.

These features predominantly reinforce the higher predicted hepatic clearance, with MolLogP and Chi3v contributing positively while PEOE_VSA7 partially counteracts the increase. Other molecular properties not shown may further influence or dominate the overall clearance prediction."
ADME_HLM,mol_14_44811754,16.180429048179768,65.15835660643272,moderate,"['MolLogP', 'TPSA', 'PEOE_VSA11']","[18.66134447287645, -14.687581624043, 11.779249169218904]","The model predicts a hepatic metabolic clearance of 16.18 mL/min/kg, categorizing the compound as having moderate clearance, which suggests a reduced rate of hepatic metabolism compared to compounds with higher intrinsic clearance values.

The baseline clearance value of 65.16 mL/min/kg represents an average metabolic rate expected for similar compounds. The predicted clearance of 16.18 mL/min/kg is substantially lower than this baseline, indicating that the compound is metabolized more slowly by liver enzymes. Biologically, this suggests prolonged systemic exposure and potentially longer half-life, which could impact dosing frequency and drug accumulation.

1. MolLogP (+18.66): MolLogP quantifies the lipophilicity of the molecule, reflecting its ability to partition into lipid membranes. A higher MolLogP generally enhances membrane permeability and may facilitate enzyme-substrate interactions, contributing to increased metabolism. In this case, the positive value indicates a tendency to increase clearance; however, this effect is insufficient to elevate the final prediction above baseline.

2. TPSA (-14.69): TPSA, or topological polar surface area, measures the polar surface exposed by the molecule and correlates with hydrogen bonding potential. A larger TPSA often reduces passive diffusion and metabolic enzyme accessibility, leading to decreased hepatic metabolism. The negative impact on clearance here aligns with the observed lower prediction, reflecting reduced metabolic rate.

3. PEOE_VSA11 (+11.78): PEOE_VSA11 represents the van der Waals surface area of atoms with a specific partial charge range, indicating regions of the molecule that may participate in electronic interactions with metabolic enzymes. A positive value signifies enhanced clearance potential through increased enzyme binding affinity. Despite this positive contribution, the overall predicted clearance remains below baseline.

These features partially counteract the overall decreased hepatic clearance prediction, suggesting that other molecular characteristics not shown here likely dominate the reduction in metabolic rate."
ADME_HLM,mol_15_300112437,37.39425229793865,65.15835660643272,moderate,"['Phi', 'VSA_EState3', 'FpDensityMorgan2']","[60.12235136794891, 40.48017530618399, -39.58505380744564]","The predicted hepatic metabolic clearance of 37.39 mL/min/kg falls within the moderate category, indicating a moderate rate of liver metabolism which may affect the drugâ€™s bioavailability and dosing regimen. This lower clearance suggests a reduced hepatic elimination compared to compounds with higher clearance values.

The baseline value of 65.16 mL/min/kg represents the average intrinsic clearance observed across a reference dataset for similar compounds. Since the prediction of 37.39 mL/min/kg is significantly lower than this average, it implies slower hepatic metabolism, potentially leading to longer systemic exposure and altered pharmacokinetic profiles.

1. Phi (+60.12): This feature likely corresponds to a molecular descriptor related to molecular shape or electronic distribution. A positive value of +60.12 indicates that a higher Phi value tends to increase intrinsic clearance by possibly enhancing enzyme accessibility or substrate affinity, thereby promoting metabolism. In this context, Phi partially offsets the overall lower clearance by favoring metabolic processes.

2. VSA_EState3 (+40.48): This descriptor combines van der Waals surface area with electrotopological state indices, reflecting molecular regions involved in enzyme interactions. Its positive contribution (+40.48) suggests that specific electronic and steric features favor increased metabolism, enhancing clearance. Despite the lowered prediction, this feature supports higher metabolic activity.

3. FpDensityMorgan2 (-39.59): Representing the molecular fingerprint density at a specified radius, this featureâ€™s negative value (-39.59) indicates that increased molecular complexity or density reduces hepatic clearance. It likely reflects steric hindrance or reduced enzyme affinity, slowing metabolism and contributing to the overall decreased clearance prediction.

These features collectively show that while Phi (+60.12) and VSA_EState3 (+40.48) act to increase hepatic clearance, their effects are outweighed by the negative influence of FpDensityMorgan2 (-39.59) and potentially other, unlisted features. Therefore, the overall prediction of reduced clearance is primarily driven by features that decrease metabolism, with positive descriptors partially counteracting this trend."
ADME_HLM,mol_16_48544545,6.619979785598117,65.15835660643272,low,"['fr_nitrile', 'TPSA', 'MolLogP']","[12.446833409447306, -8.066779120982453, -6.734881845349022]","The model predicts a hepatic metabolic clearance of 6.62 mL/min/kg, categorizing the compound as having low intrinsic clearance in liver microsomes, which suggests slower hepatic metabolism and potentially longer systemic exposure.

The baseline hepatic intrinsic clearance of 65.16 mL/min/kg represents an average metabolic activity within the population of compounds. The predicted value of 6.62 mL/min/kg is significantly lower than this baseline, indicating reduced hepatic enzyme-mediated biotransformation. Biologically, this implies the compound is metabolized more slowly by liver enzymes, possibly resulting in prolonged half-life and altered dosing requirements.

1. fr_nitrile (+12.45): This feature indicates the presence of a nitrile functional group, which can influence the moleculeâ€™s electron distribution and binding affinity to metabolic enzymes. A positive contribution of +12.45 suggests that the nitrile group increases the intrinsic clearance, likely by facilitating liver enzyme interaction. Pharmacokinetically, this tends to enhance hepatic metabolism, potentially shortening systemic exposure.

2. TPSA (-8.07): The topological polar surface area represents the moleculeâ€™s polar regions available for hydrogen bonding. A negative value of -8.07 indicates that higher TPSA decreases hepatic clearance, possibly due to reduced membrane permeability or weaker interaction with metabolizing enzymes. This feature suggests poorer hepatic metabolism and a tendency toward longer systemic retention.

3. MolLogP (-6.73): The calculated logarithm of partition coefficient (MolLogP) reflects lipophilicity. A negative effect of -6.73 implies that increased lipophilicity lowers metabolic clearance, likely because highly lipophilic compounds have reduced solubility in the aqueous enzyme environment or form metabolite complexes less efficiently. This feature correlates with slower hepatic metabolism.

These features collectively counterbalance the overall low predicted clearance, as the positive effect of fr_nitrile partially offsets the stronger negative influences of TPSA and MolLogP. Other unshown molecular properties likely dominate the prediction toward low hepatic metabolism."
ADME_HLM,mol_17_44507857,12.613535559357572,65.15835660643272,moderate,"['VSA_EState5', 'MolLogP', 'SMR_VSA5']","[14.970840749436045, -13.958317983468383, 8.498043978245349]","The model predicts a hepatic metabolic clearance of 12.61 mL/min/kg, categorized as moderate clearance, indicating a slower rate of drug metabolism by liver enzymes compared to higher clearance compounds.

The baseline hepatic clearance value of 65.16 mL/min/kg represents an average intrinsic metabolic rate observed in liver microsomes for this class of compounds. Since the prediction is significantly lower than the baseline, this implies that the compound will likely undergo slower hepatic metabolism, potentially resulting in prolonged systemic exposure and altered dosing requirements.

1. VSA_EState5 (+14.97): This descriptor quantifies the weighted surface area of atoms with specific electronic states; its positive contribution suggests molecular regions that favor enzyme interaction or facilitate metabolic processes, which typically increase hepatic clearance. However, since the overall prediction is lower, this feature only partially offsets other factors that decrease metabolism.

2. MolLogP (-13.96): MolLogP measures compound lipophilicity, with a negative impact here indicating that increased lipophilicity reduces intrinsic hepatic clearance. This likely reflects reduced solubility and lower enzyme accessibility, leading to slower metabolic rates and consistent with the decreased clearance prediction.

3. SMR_VSA5 (+8.5): This feature captures contributions of polar surface areas associated with molar refractivity; its positive value signifies molecular characteristics that tend to enhance enzyme binding and metabolic transformation, thereby augmenting clearance. Despite this, the overall lower prediction suggests other features diminish this effect.

These features collectively counteract the overall reduction in predicted hepatic clearance but do not fully overcome it, implying that other unlisted molecular properties exert stronger influences driving the decreased metabolic rate."
ADME_HLM,mol_18_194974866,21.205533096478085,65.15835660643272,moderate,"['MolLogP', 'VSA_EState5', 'SlogP_VSA3']","[19.637740867995472, -18.515964734304582, -11.393330577781832]","The predicted hepatic metabolic clearance is 21.21 mL/min/kg, which falls into the moderate clearance category, indicating a moderate capacity of the liver microsomes to metabolize the compound pharmacologically.

The baseline clearance of 65.16 mL/min/kg represents an average intrinsic clearance value across a reference set of compounds. The prediction of 21.21 mL/min/kg is significantly lower than this baseline, implying that the compound is metabolized more slowly by liver enzymes compared to the average, which may result in longer systemic exposure and potentially altered dosing requirements.

1. MolLogP (+19.64): MolLogP represents the calculated octanol-water partition coefficient, which indicates lipophilicity. Higher lipophilicity generally enhances membrane permeability and substrate access to liver enzymes, thus increasing metabolic clearance. The positive value suggests that lipophilicity partially promotes higher clearance, counteracting the overall lower prediction.

2. VSA_EState5 (-18.52): VSA_EState5 describes the sum of van der Waals surface areas for atoms with a specific electronic state, reflecting the molecular shape and electronic distribution. A negative impact on clearance suggests that features represented by this descriptor reduce enzyme interactions or accessibility, decreasing metabolic rate and thus lowering intrinsic clearance.

3. SlogP_VSA3 (-11.39): SlogP_VSA3 is the sum of surface areas of atoms with certain logP ranges, relating to hydrophobic surface patches. The negative value indicates that these hydrophobic patches reduce metabolism, possibly by limiting enzyme binding or recognition, contributing to the decreased hepatic clearance.

These features overall counteract and reinforce the final predicted decrease in hepatic metabolic clearance, with MolLogP providing a partial opposing effect; however, other molecular properties not detailed here likely dominate the prediction toward a lower clearance."
