endpoint,sample_id,model,strategy,top_k,features,shap_values,prompt,explanation
ADME_hPPB,0,gpt-4.1-mini,basic,2,"['fr_COO', 'fr_para_hydroxylation']","[0.23030167332376775, 0.09173439901369888]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.230
- fr_para_hydroxylation: 0.092

","The prediction is influenced by two features with positive contributions:

- **fr_COO (contribution: 0.230):** This feature contributes the most to the prediction. It likely represents the presence of a carboxyl group (–COO) in the molecule. The positive contribution suggests that the presence of this group strongly increases the predicted outcome (e.g., probability of activity, toxicity, or another target variable).

- **fr_para_hydroxylation (contribution: 0.092):** This feature represents para hydroxylation (a hydroxyl group at the para position) and also has a positive influence, though smaller than fr_COO. It indicates that para-hydroxylated structures moderately increase the predicted outcome.

**Summary:** Both features push the prediction upwards, with fr_COO having a stronger impact. The model expects the outcome to increase when these chemical groups are present."
ADME_hPPB,1,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.09066957024896542, 0.05647438464739423]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.091
- HeavyAtomMolWt: 0.056

","The prediction is influenced by two features with their respective contributions:

- **fr_COO: -0.091**  
  This feature has a negative contribution, meaning the presence or higher value of fr_COO tends to decrease the predicted value. In other words, this feature is pushing the prediction downward.

- **HeavyAtomMolWt: 0.056**  
  This feature has a positive contribution, so a higher HeavyAtomMolWt tends to increase the predicted value. It is pushing the prediction upward.

**Overall interpretation:**  
The negative effect of the fr_COO feature (-0.091) is stronger than the positive effect from HeavyAtomMolWt (0.056), resulting in a net downward influence on the prediction."
ADME_hPPB,2,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[0.21410272034319877, -0.08789373115731833]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.214
- HeavyAtomMolWt: -0.088

","The prediction is influenced by the two given features as follows:

- **fr_COO (contribution: +0.214):** This feature has a positive contribution to the prediction, indicating that the presence or higher value of the ""fr_COO"" feature increases the predicted outcome. The relatively large positive value (+0.214) suggests it plays an important role in pushing the prediction upward.

- **HeavyAtomMolWt (contribution: -0.088):** This feature has a negative contribution, meaning that higher values of ""HeavyAtomMolWt"" decrease the predicted outcome. The smaller magnitude (-0.088) compared to fr_COO indicates a moderate negative influence, but less impactful than the positive influence from fr_COO.

**Summary:**  
The overall prediction is a combination of these effects. The presence or increase in fr_COO tends to raise the predicted value, while larger heavy atom molecular weight slightly lowers it. The positive effect of fr_COO outweighs the negative effect of HeavyAtomMolWt in this case, suggesting the predicted value is increased overall by these features."
ADME_hPPB,3,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.07941055982920611, -0.036676242675749135]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.079
- HeavyAtomMolWt: -0.037

","The prediction explanation based on the given feature contributions is as follows:

- **fr_COO: -0.079**  
  This feature likely represents the presence or count of the carboxyl functional group (-COO) in the molecule. The negative contribution value (-0.079) indicates that having this group decreases the predicted outcome. In other words, the presence of the carboxyl group reduces the predicted value by approximately 0.079 units (depending on the scale of the prediction).

- **HeavyAtomMolWt: -0.037**  
  This feature refers to the molecular weight considering only the heavy atoms (non-hydrogen atoms) in the molecule. The negative contribution (-0.037) suggests that a higher heavy atom molecular weight results in a lower predicted value, decreasing it by about 0.037 units.

**Summary:** Both the presence of the carboxyl functional group and an increase in heavy atom molecular weight contribute negatively to the prediction, lowering the predicted outcome by respective amounts."
ADME_hPPB,4,gpt-4.1-mini,basic,2,"['Chi0n', 'PEOE_VSA1']","[-0.11669207127936318, 0.0823257502401111]","
Explain the prediction using the following feature contributions.

- Chi0n: -0.117
- PEOE_VSA1: 0.082

","The prediction is influenced by the contributions of two features:

- **Chi0n** has a contribution of **-0.117**, which means this feature is pushing the prediction lower (negatively contributing).
- **PEOE_VSA1** has a contribution of **+0.082**, so this feature is pushing the prediction higher (positively contributing).

In summary, Chi0n reduces the predicted value, while PEOE_VSA1 increases it, with Chi0n having a slightly stronger effect in magnitude than PEOE_VSA1. The overall prediction results from the combined balance of these positive and negative influences."
ADME_hPPB,5,gpt-4.1-mini,basic,2,"['fr_COO', 'Chi2n']","[0.671899759352337, 0.06830291145927844]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.672
- Chi2n: 0.068

","The prediction explanation based on the feature contributions is as follows:

- **fr_COO (contribution: 0.672):** This feature has the largest positive contribution to the prediction, meaning it strongly influences the model toward increasing the predicted value (or the likelihood of the predicted class, depending on the task). The relatively high value (0.672) indicates that this feature carries significant weight in the decision-making process for this particular prediction.

- **Chi2n (contribution: 0.068):** This feature has a smaller positive contribution compared to fr_COO. Although it does push the prediction slightly higher, its influence is much less pronounced.

**Summary:** The model's prediction is primarily driven by the feature fr_COO, which has a strong positive effect, with a minor positive influence from Chi2n. If you want to modify or understand the prediction, focusing on changes in fr_COO would have the most significant impact."
ADME_hPPB,6,gpt-4.1-mini,basic,2,"['fr_ketone', 'HeavyAtomMolWt']","[0.09213258011619159, -0.0678695845211875]","
Explain the prediction using the following feature contributions.

- fr_ketone: 0.092
- HeavyAtomMolWt: -0.068

","The prediction is influenced by two features with the following contributions:

- **fr_ketone**: This feature has a positive contribution of +0.092. This means that the presence or higher value of the ketone functional group feature tends to increase the predicted outcome.
- **HeavyAtomMolWt**: This feature has a negative contribution of -0.068. This indicates that a higher heavy atom molecular weight tends to decrease the predicted outcome.

In summary, the prediction is increased by the presence or amount of ketone groups in the molecule, while it is decreased by the molecular weight of heavy atoms. The net effect depends on the balance of these contributions, with fr_ketone pushing the prediction up and HeavyAtomMolWt pulling it down."
ADME_hPPB,7,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[0.13489737593521717, -0.10046860935451038]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.135
- HeavyAtomMolWt: -0.100

","The prediction is influenced by two features with their respective contributions:

- **fr_COO: 0.135** — This feature has a positive contribution of 0.135, meaning that the presence or higher value of this feature increases the prediction output. In this context, ""fr_COO"" likely refers to the presence or count of carboxyl groups (-COO) in the molecule, which has a favorable impact on the predicted value.

- **HeavyAtomMolWt: -0.100** — This feature has a negative contribution of -0.100, indicating that a higher value of this feature decreases the prediction output. ""HeavyAtomMolWt"" represents the molecular weight considering only heavy atoms (non-hydrogen atoms), so a higher molecular weight here reduces the predicted value.

**Summary:** The presence of carboxyl groups (fr_COO) positively influences the prediction, while an increase in heavy atom molecular weight lowers the prediction. The net effect depends on the combination of these contributions."
ADME_hPPB,8,gpt-4.1-mini,basic,2,"['fr_COO', 'Phi']","[0.1141172624089847, 0.08616550763236536]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.114
- Phi: 0.086

","The prediction is influenced by two features with positive contributions:

- **fr_COO (0.114):** This feature contributes 0.114 to the prediction, indicating that its presence or value increases the predicted outcome. It has a relatively strong positive impact compared to the other feature.

- **Phi (0.086):** This feature contributes 0.086, also positively affecting the prediction but to a slightly lesser extent than fr_COO.

In summary, both features push the prediction higher, with fr_COO having a somewhat larger effect than Phi. Together, they increase the predicted value by approximately 0.2 when combined."
ADME_hPPB,9,gpt-4.1-mini,basic,2,"['fr_COO', 'VSA_EState4']","[0.4660350543987155, 0.06998149123792072]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.466
- VSA_EState4: 0.070

","The prediction is influenced by the two features as follows:

- **fr_COO (0.466)**: This feature has a relatively large positive contribution to the prediction. It suggests that the presence or value of the ""fr_COO"" feature significantly increases the predicted outcome.

- **VSA_EState4 (0.070)**: This feature has a smaller positive contribution, indicating a modest increase in the predicted value.

Overall, the prediction is primarily driven by the ""fr_COO"" feature, with ""VSA_EState4"" providing a smaller supporting effect. The combined positive contributions from both features result in an increased predicted value compared to a baseline."
ADME_hPPB,10,gpt-4.1-mini,basic,2,"['fr_COO', 'fr_ketone']","[0.23201331387892193, 0.06441642838872992]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.232
- fr_ketone: 0.064

","The prediction is influenced by the contributions of two features:

- **fr_COO: 0.232** — This feature has a relatively large positive contribution, meaning that the presence or value of the ""fr_COO"" feature strongly increases the predicted outcome. It has a substantial impact on pushing the prediction higher.

- **fr_ketone: 0.064** — This feature also contributes positively to the prediction, but its effect is smaller compared to ""fr_COO."" It supports the prediction increase but to a lesser extent.

**Summary:** The feature ""fr_COO"" is the main driver behind the positive prediction, with ""fr_ketone"" adding a mild supportive effect. Overall, both features contribute positively, leading to a higher predicted value or class probability."
ADME_hPPB,11,gpt-4.1-mini,basic,2,"['fr_COO', 'VSA_EState8']","[-0.6924093339782766, 0.07126712930884477]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.692
- VSA_EState8: 0.071

","The prediction is influenced by two features with the following contributions:

- **fr_COO** contributes **-0.692**, which is a relatively large negative value. This means that the presence or value of the fr_COO feature strongly decreases the predicted outcome.
- **VSA_EState8** contributes **0.071**, a small positive value, indicating that this feature slightly increases the predicted outcome.

**Overall interpretation:**  
The negative effect of fr_COO substantially lowers the prediction, while VSA_EState8 slightly counteracts this by increasing it. The combined effect suggests that the prediction is mostly driven down by fr_COO, with VSA_EState8 providing only a minor positive adjustment."
ADME_hPPB,12,gpt-4.1-mini,basic,2,"['HeavyAtomMolWt', 'fr_COO']","[0.10329290196699509, 0.09176128219994943]","
Explain the prediction using the following feature contributions.

- HeavyAtomMolWt: 0.103
- fr_COO: 0.092

","The prediction is influenced primarily by two features:

1. **HeavyAtomMolWt (Heavy Atom Molecular Weight) with a contribution of 0.103**  
   This feature represents the total molecular weight of all non-hydrogen (heavy) atoms in the molecule. A positive contribution of 0.103 suggests that molecules with a higher heavy atom molecular weight tend to increase the prediction value. This could mean that larger or more complex molecules have a stronger effect on the target property being predicted.

2. **fr_COO (Carboxylic Acid Functional Group Count) with a contribution of 0.092**  
   This feature counts the number of carboxylic acid groups in the molecule. A positive contribution of 0.092 indicates that having carboxylic acid groups also increases the prediction value. This might imply that the presence of acidic functional groups is associated with the predicted outcome.

**Summary:**  
Both features positively impact the prediction, with HeavyAtomMolWt contributing slightly more than fr_COO. The model predicts higher values for molecules that are larger in terms of heavy atom weight and that contain carboxylic acid groups."
ADME_hPPB,13,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.05648788350153549, 0.05363327848729964]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.056
- HeavyAtomMolWt: 0.054

","The prediction is influenced by two features with the following contributions:

- **fr_COO**: This feature has a contribution of **-0.056**, which means it is pushing the prediction **downward**. In other words, the presence (or value) of the fr_COO feature is associated with a decrease in the predicted output.
  
- **HeavyAtomMolWt**: This feature has a contribution of **+0.054**, indicating it is pushing the prediction **upward**. So, a higher HeavyAtomMolWt is associated with an increase in the predicted output.

Overall, these two features have roughly similar magnitude contributions but in opposite directions. The negative effect of fr_COO slightly outweighs the positive effect of HeavyAtomMolWt, leading to a small net downward influence on the prediction."
ADME_hPPB,14,gpt-4.1-mini,basic,2,"['fr_COO', 'fr_ketone']","[0.5704528397652694, 0.06836895475537104]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.570
- fr_ketone: 0.068

","The prediction is influenced by two features: **fr_COO** and **fr_ketone**.

- **fr_COO (0.570)**: This feature has a relatively large positive contribution to the prediction. The value 0.570 suggests that the presence or frequency of the COO (carboxyl) functional group strongly increases the predicted target value (e.g., likelihood of a property or activity).

- **fr_ketone (0.068)**: This feature also has a positive contribution but much smaller compared to fr_COO. The presence or frequency of the ketone group slightly increases the predicted value.

**Summary:** The prediction is primarily driven by the presence of the COO group, with a secondary, smaller positive effect from the ketone group. In other words, the COO feature is the dominant factor pushing the prediction higher, while the ketone feature adds a minor positive effect."
ADME_hPPB,15,gpt-4.1-mini,basic,2,"['AvgIpc', 'fr_para_hydroxylation']","[0.09671728735014064, 0.09133884498835236]","
Explain the prediction using the following feature contributions.

- AvgIpc: 0.097
- fr_para_hydroxylation: 0.091

","The prediction is influenced by the two features as follows:

- **AvgIpc (0.097):** This feature contributes positively to the prediction, with a value of 0.097. It suggests that a higher or more significant average IPC (which might stand for a domain-specific metric, e.g., ""average inter-process communication"" or another context-dependent measure) slightly increases the likelihood or score of the predicted outcome.

- **fr_para_hydroxylation (0.091):** This feature also contributes positively to the prediction with a value of 0.091. It likely represents the frequency or presence of para hydroxylation (a specific chemical modification or structure feature). Its positive contribution suggests that the presence or higher frequency of para hydroxylation increases the predicted score or probability.

**Summary:** Both features have positive contributions of similar magnitude, indicating that both higher AvgIpc and the presence/frequency of para hydroxylation push the prediction in the same direction, increasing the predicted value or probability."
ADME_hPPB,16,gpt-4.1-mini,basic,2,"['fr_lactam', 'NumAromaticCarbocycles']","[0.08175047560165764, 0.08019525158837393]","
Explain the prediction using the following feature contributions.

- fr_lactam: 0.082
- NumAromaticCarbocycles: 0.080

","The prediction is influenced by the two features you've provided, each contributing positively to the predicted outcome:

- **fr_lactam (0.082):** This feature likely represents the presence or count of lactam functional groups in the molecule. A contribution of 0.082 means that having lactam groups increases the predicted value (such as activity, property, or class probability) moderately. Lactams might be important for the target prediction, positively influencing the model's output.

- **NumAromaticCarbocycles (0.080):** This feature measures the number of aromatic carbocyclic rings in the molecule. Its contribution of 0.080 shows that aromatic carbocycles also add to the predicted value, similarly increasing the likelihood or magnitude of the prediction.

Together, these two features contribute positively and roughly equally to the model's prediction, suggesting that molecules containing lactam groups and aromatic carbocycles are more likely to exhibit the property or class that the model predicts."
ADME_hPPB,17,gpt-4.1-mini,basic,2,"['fr_COO', 'VSA_EState3']","[0.17649785070845542, -0.09227044022638244]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.176
- VSA_EState3: -0.092

","The prediction explanation based on the feature contributions is as follows:

- **fr_COO (contribution: +0.176):** This feature has a positive contribution to the prediction, increasing the predicted value by about 0.176 units. This means that the presence or higher values of fr_COO push the model's prediction upwards, suggesting it is associated with a stronger or higher output in the target variable.

- **VSA_EState3 (contribution: -0.092):** This feature has a negative contribution, decreasing the predicted value by about 0.092 units. Higher values or the presence of VSA_EState3 tend to pull the prediction downward, reducing the predicted outcome.

**Summary:** The overall prediction is influenced by these two features in opposite directions—fr_COO pushes it up, while VSA_EState3 pulls it down. The net effect of these two features combined is approximately +0.084 (0.176 - 0.092), slightly increasing the prediction."
ADME_hPPB,18,gpt-4.1-mini,basic,2,"['fr_COO', 'SMR_VSA6']","[-0.47552652329425077, -0.1401437973543603]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.476
- SMR_VSA6: -0.140

","The prediction explanation based on the given feature contributions is as follows:

- **fr_COO: -0.476**  
  This feature has a negative contribution of -0.476 to the prediction, meaning that this feature value is pushing the prediction downward. In other words, the presence or value of fr_COO decreases the likelihood of the predicted outcome (depending on the model context, this could be lowering the predicted probability or score).

- **SMR_VSA6: -0.140**  
  Similarly, SMR_VSA6 contributes negatively with a value of -0.140, lowering the predicted output, though to a lesser extent than fr_COO.

### Summary  
Both features are pulling the prediction in a negative direction. fr_COO has a stronger negative impact than SMR_VSA6, and together they reduce the predicted value more significantly than either alone. The overall prediction is influenced by these features moving the model’s output downward."
ADME_hPPB,19,gpt-4.1-mini,basic,2,"['Chi0n', 'Kappa2']","[0.07274975401143807, 0.05731062043537562]","
Explain the prediction using the following feature contributions.

- Chi0n: 0.073
- Kappa2: 0.057

","The prediction is being influenced by two features, Chi0n and Kappa2, with their respective contributions as follows:

- **Chi0n (0.073):** This feature contributes positively to the prediction with a value of 0.073. A positive contribution means that higher values or certain characteristics captured by Chi0n increase the predicted outcome in this model.

- **Kappa2 (0.057):** This feature also makes a positive contribution to the prediction, but slightly less than Chi0n, at 0.057. Like Chi0n, it pushes the prediction in the direction of a higher predicted value.

In summary, both features are pushing the prediction upward, with Chi0n having a slightly stronger effect than Kappa2. The overall prediction is a combination of these contributions plus any other factors or baseline in the model."
ADME_hPPB,20,gpt-4.1-mini,basic,2,"['fr_COO', 'SMR_VSA6']","[-0.2561860846366209, -0.15076422946183524]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.256
- SMR_VSA6: -0.151

","The prediction is influenced by two features with negative contributions:

1. **fr_COO: -0.256**  
   This feature decreases the predicted value by 0.256 units. Its negative contribution indicates that the presence or higher value of fr_COO lowers the prediction outcome.

2. **SMR_VSA6: -0.151**  
   Similarly, this feature decreases the predicted value by 0.151 units. It also acts to reduce the overall prediction.

**Overall explanation:** Both features contribute to reducing the prediction, with fr_COO having a stronger negative effect than SMR_VSA6. Their combined influence lowers the predicted value by approximately 0.407 units. This suggests that these particular feature values are associated with outcomes lower than the baseline or average prediction."
ADME_hPPB,21,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.5258083724859114, -0.09461140181177966]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.526
- HeavyAtomMolWt: -0.095

","The prediction is influenced by two features with the following contributions:

- **fr_COO (-0.526):** This feature has a negative contribution to the predicted value. Since its contribution is relatively large in magnitude (-0.526), it means that the presence or value of the fr_COO feature strongly decreases the prediction.

- **HeavyAtomMolWt (-0.095):** This feature also has a negative contribution, but smaller in magnitude than fr_COO. It slightly reduces the predicted value.

**Summary:** Both features contribute to lowering the predicted value, with the fr_COO feature having a much stronger negative impact compared to the HeavyAtomMolWt feature."
ADME_hPPB,22,gpt-4.1-mini,basic,2,"['PEOE_VSA1', 'HeavyAtomMolWt']","[0.08877750781621638, -0.07431886473544108]","
Explain the prediction using the following feature contributions.

- PEOE_VSA1: 0.089
- HeavyAtomMolWt: -0.074

","The prediction is influenced by the two features as follows:

- **PEOE_VSA1 (0.089):** This positive contribution means that higher values of the PEOE_VSA1 feature increase the predicted value. PEOE_VSA1 typically relates to the sum of van der Waals surface areas of atoms with a certain partial charge range (often related to electronegativity or polarity), so molecules with more surface area in this charge range push the prediction higher.

- **HeavyAtomMolWt (-0.074):** This negative contribution means that higher values of the molecular weight of heavy atoms (non-hydrogen atoms) decrease the predicted value. So, larger molecules with more heavy atoms tend to lower the prediction.

**Summary:** The model’s prediction increases when the molecule has a larger PEOE_VSA1 (more surface area with specific partial charges) but decreases when the molecule is heavier in terms of heavy atom molecular weight. The positive impact of PEOE_VSA1 slightly outweighs the negative impact of HeavyAtomMolWt in the provided contributions."
ADME_hPPB,23,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.17924993004410167, 0.06811917206491082]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.179
- HeavyAtomMolWt: 0.068

","The prediction is influenced by two features with the following contributions:

- **fr_COO**: -0.179  
  This feature has a negative contribution to the prediction, meaning that the presence or increase of the ""fr_COO"" feature decreases the predicted value. The relatively large negative value suggests that this feature plays a significant role in lowering the prediction.

- **HeavyAtomMolWt**: 0.068  
  This feature has a positive contribution to the prediction, indicating that a higher heavy atom molecular weight tends to increase the predicted value. The contribution is smaller compared to fr_COO, so its effect is positive but more moderate.

**Summary:**  
The prediction is being pushed down mainly due to the fr_COO feature, while the HeavyAtomMolWt feature slightly raises it. Overall, the negative impact of fr_COO outweighs the positive impact of HeavyAtomMolWt in this case."
ADME_hPPB,24,gpt-4.1-mini,basic,2,"['fr_COO', 'SMR_VSA6']","[-0.26573371163352055, -0.08025752941001019]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.266
- SMR_VSA6: -0.080

","The prediction explanation based on the given feature contributions is as follows:

- **fr_COO:** This feature has a contribution of **-0.266**, which means it is pushing the prediction downward (negative impact). In other words, the value of the feature `fr_COO` is making the predicted outcome less likely or reducing the predicted score by 0.266 units.

- **SMR_VSA6:** This feature has a smaller negative contribution of **-0.080**, similarly pushing the prediction downward but to a lesser extent compared to `fr_COO`.

**Overall interpretation:** Both features are negatively influencing the prediction, collectively decreasing the predicted value. The feature `fr_COO` has a stronger impact than `SMR_VSA6`. If you want to increase the predicted value, these features would need to change in a way that reduces their negative impact."
ADME_hPPB,25,gpt-4.1-mini,basic,2,"['ExactMolWt', 'VSA_EState3']","[-0.073227944800371, -0.05291920231278154]","
Explain the prediction using the following feature contributions.

- ExactMolWt: -0.073
- VSA_EState3: -0.053

","The given feature contributions indicate how each feature influenced the prediction relative to the baseline or average prediction of the model.

- **ExactMolWt: -0.073**  
  This means that the molecular weight feature contributed negatively to the prediction by a value of 0.073. In other words, the specific molecular weight of the compound decreased the predicted outcome compared to what the model would predict without this information.

- **VSA_EState3: -0.053**  
  Similarly, the VSA_EState3 feature — which typically relates to a specific electrostatic state or surface area descriptor — also contributed negatively by 0.053 to the prediction, slightly lowering the prediction value.

### Summary  
Both features pushed the prediction downwards. The ExactMolWt had a somewhat larger negative impact than VSA_EState3. Thus, the model's predicted value is reduced due to these two feature values compared to the average prediction baseline."
ADME_hPPB,26,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.26156878859813093, -0.07301115166507138]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.262
- HeavyAtomMolWt: -0.073

","The prediction explanation based on the given feature contributions is as follows:

- **fr_COO: -0.262**  
  The feature ""fr_COO"" has a negative contribution of -0.262 to the prediction. This means that the presence or higher value of this feature decreases the predicted value or reduces the likelihood of the positive class (depending on the context). In other words, this feature pushes the prediction downward.

- **HeavyAtomMolWt: -0.073**  
  The feature ""HeavyAtomMolWt"" also has a negative contribution of -0.073. Similarly, increases in this feature tend to decrease the predicted value, but its effect is smaller in magnitude compared to ""fr_COO"".

### Summary
Both features contribute negatively to the model's prediction, with ""fr_COO"" having a larger impact than ""HeavyAtomMolWt"". Together, they pull the prediction downwards, indicating that higher values in these features reduce the prediction score or probability."
ADME_hPPB,27,gpt-4.1-mini,basic,2,"['fr_COO', 'HeavyAtomMolWt']","[-0.1274923620838642, 0.075310793491549]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.127
- HeavyAtomMolWt: 0.075

","The prediction is influenced by two features with the following contributions:

- **fr_COO: -0.127**  
  This feature has a negative contribution of -0.127, which means the presence or higher value of fr_COO (a count of COO groups) decreases the predicted value or likelihood of the target outcome.

- **HeavyAtomMolWt: 0.075**  
  This feature has a positive contribution of 0.075, indicating that a higher Heavy Atom Molecular Weight slightly increases the predicted value or likelihood of the target outcome.

### Summary:
The overall prediction is a combination of these effects. The presence or number of COO groups reduces the predicted outcome, while a greater heavy atom molecular weight increases it, but the negative impact of fr_COO is stronger than the positive impact of HeavyAtomMolWt in this case."
ADME_hPPB,28,gpt-4.1-mini,basic,2,"['fr_COO', 'VSA_EState3']","[-0.16481841609785058, 0.05825330001933454]","
Explain the prediction using the following feature contributions.

- fr_COO: -0.165
- VSA_EState3: 0.058

","The prediction is influenced by two features with the following contributions:

- **fr_COO: -0.165**  
  This feature has a negative contribution to the prediction. It reduces the predicted value by 0.165 units, indicating that the presence or the value of this feature lowers the model's output.

- **VSA_EState3: 0.058**  
  This feature has a positive contribution to the prediction. It increases the predicted value by 0.058 units, meaning that its presence or value raises the model's output.

**Overall explanation:**  
The feature **fr_COO** pulls the prediction downward, while **VSA_EState3** pushes it upward, but the negative effect from fr_COO is stronger in magnitude. Therefore, the combined effect of these two features results in a net decrease in the predicted value."
ADME_hPPB,29,gpt-4.1-mini,basic,2,"['fr_COO', 'VSA_EState4']","[0.6001558987840071, 0.08512303771389867]","
Explain the prediction using the following feature contributions.

- fr_COO: 0.600
- VSA_EState4: 0.085

","The explanation of the prediction based on the given feature contributions is as follows:

- **fr_COO (0.600):** This feature has a relatively large positive contribution to the prediction. A contribution of 0.600 suggests that the presence or value of the fr_COO feature significantly increases the predicted outcome. It is likely one of the primary drivers or important factors influencing the prediction.

- **VSA_EState4 (0.085):** This feature has a smaller but still positive contribution. A value of 0.085 indicates that VSA_EState4 also pushes the prediction upward, but its effect is modest compared to fr_COO.

### Summary
The prediction is primarily influenced by the feature fr_COO, which strongly increases the predicted value. Additionally, VSA_EState4 contributes a smaller positive effect, supporting the overall prediction but with much less influence."
ADME_hPPB,30,gpt-4.1-mini,basic,2,"['Kappa2', 'VSA_EState3']","[-0.09399886699904136, -0.07275630009258682]","
Explain the prediction using the following feature contributions.

- Kappa2: -0.094
- VSA_EState3: -0.073

","The prediction is influenced by the two features as follows:

- **Kappa2**: Its contribution is -0.094, which means this feature is pushing the prediction downward. In other words, a higher or certain value of Kappa2 reduces the predicted outcome by about 0.094 units (relative to the baseline).
  
- **VSA_EState3**: Its contribution is -0.073, similarly pulling the prediction down, but to a slightly lesser extent than Kappa2.

Overall, both features contribute negatively to the prediction, lowering the final predicted value. This suggests that, for this instance, the values of Kappa2 and VSA_EState3 are associated with a decrease in the predicted target."
